Pattern	Desired Output	Network Output
1	0.000000	0.029034
2	1.000000	0.594914
3	1.000000	0.934530
4	1.000000	0.594914
5	0.000000	0.594914
6	1.000000	0.594914
7	1.000000	0.594914
8	1.000000	0.674110
9	0.000000	0.928353
10	1.000000	0.595756
11	1.000000	0.768738
12	1.000000	0.229801
13	0.000000	0.878455
14	0.000000	0.827992
15	0.000000	0.669228
16	1.000000	0.625231
17	0.000000	0.594919
18	1.000000	0.594922
19	1.000000	0.594914
20	1.000000	0.625174
21	1.000000	0.700056
22	1.000000	0.597350
23	1.000000	0.595978
24	1.000000	0.598114
25	1.000000	0.595026
26	0.000000	0.642614
27	0.000000	0.594916
28	1.000000	0.598357
29	0.000000	0.128425
30	0.000000	0.594914
31	1.000000	0.627380
32	1.000000	0.594914
33	1.000000	0.594914
34	0.000000	0.595751
35	0.000000	0.594914
36	0.000000	0.595445
37	1.000000	0.594914
38	1.000000	0.595349
39	1.000000	0.595445
40	1.000000	0.589694
41	1.000000	0.229736
42	1.000000	0.594933
43	0.000000	0.128425
44	1.000000	0.128425
45	1.000000	0.229736
46	0.000000	0.128425
47	1.000000	0.229736
48	0.000000	0.129905
49	0.000000	0.594914
50	1.000000	0.128425
51	1.000000	0.594913
52	0.000000	0.243330
53	1.000000	0.594911
54	1.000000	0.245142
55	0.000000	0.594891
56	0.000000	0.520835
57	0.000000	0.229833
58	0.000000	0.229742
59	0.000000	0.230441
60	0.000000	0.116514
61	0.000000	0.449871
62	1.000000	0.128425
63	0.000000	0.169839
64	1.000000	0.128425
65	0.000000	0.264879
66	0.000000	0.128425
67	0.000000	0.128426
68	0.000000	0.229765
69	0.000000	0.211162
70	1.000000	0.229765
71	0.000000	0.489711
72	0.000000	0.301158
73	0.000000	0.229736
74	1.000000	0.242111
75	0.000000	0.242111
76	1.000000	0.242111
77	1.000000	0.229757
78	1.000000	0.229738
79	0.000000	0.229759
80	0.000000	0.229736
81	0.000000	0.229757
82	0.000000	0.229736
83	1.000000	0.229736
84	0.000000	0.229736
85	0.000000	0.229736
86	0.000000	0.229736
