Pattern	Desired Output	Network Output
1	0.000000	0.037510
2	1.000000	0.999995
3	1.000000	0.999999
4	1.000000	0.999905
5	0.000000	0.999994
6	1.000000	0.310387
7	1.000000	0.999871
8	1.000000	0.998736
9	0.000000	0.806710
10	1.000000	0.453309
11	1.000000	0.741870
12	1.000000	0.310843
13	0.000000	0.743553
14	0.000000	0.721282
15	0.000000	0.725033
16	1.000000	0.742243
17	0.000000	0.290037
18	1.000000	0.289695
19	1.000000	0.292463
20	1.000000	0.695025
21	1.000000	0.698274
22	1.000000	0.694133
23	1.000000	0.693947
24	1.000000	0.695905
25	1.000000	0.693606
26	0.000000	0.695262
27	0.000000	0.286990
28	1.000000	0.337390
29	0.000000	0.290211
30	0.000000	0.290340
31	1.000000	0.662678
32	1.000000	0.279130
33	1.000000	0.281344
34	0.000000	0.684185
35	0.000000	0.281344
36	0.000000	0.655223
37	1.000000	0.279130
38	1.000000	0.692991
39	1.000000	0.655223
40	1.000000	0.693510
41	1.000000	0.283766
42	1.000000	0.651578
43	0.000000	0.320133
44	1.000000	0.290198
45	1.000000	0.274533
46	0.000000	0.290196
47	1.000000	0.274533
48	0.000000	0.693036
49	0.000000	0.279536
50	1.000000	0.290196
51	1.000000	0.383209
52	0.000000	0.277691
53	1.000000	0.637315
54	1.000000	0.279152
55	0.000000	0.276645
56	0.000000	0.277365
57	0.000000	0.277241
58	0.000000	0.277239
59	0.000000	0.278930
60	0.000000	0.277125
61	0.000000	0.648995
62	1.000000	0.290196
63	0.000000	0.388800
64	1.000000	0.290196
65	0.000000	0.544896
66	0.000000	0.290196
67	0.000000	0.290193
68	0.000000	0.278516
69	0.000000	0.290482
70	1.000000	0.278516
71	0.000000	0.610442
72	0.000000	0.603647
73	0.000000	0.261567
74	1.000000	0.261302
75	0.000000	0.261302
76	1.000000	0.261302
77	1.000000	0.278320
78	1.000000	0.275655
79	0.000000	0.277137
80	0.000000	0.277118
81	0.000000	0.271672
82	0.000000	0.230226
83	1.000000	0.230226
84	0.000000	0.230226
85	0.000000	0.230226
86	0.000000	0.230226
87	0.000000	0.230226
88	1.000000	0.230226
89	0.000000	0.230226
90	0.000000	0.230226
91	0.000000	0.230226
92	0.000000	0.230226
93	0.000000	0.277179
94	0.000000	0.270696
95	1.000000	0.306464
96	0.000000	0.290190
97	0.000000	0.277301
98	1.000000	0.211486
99	0.000000	0.278033
100	0.000000	0.268298
101	0.000000	0.277133
102	0.000000	0.251051
